"Date" "HomeTeam" "AwayTeam" "FTHG" "FTAG" "FTR"
"164" "02/01/11" "Sp Gijon" "Malaga" 1 2 "A"
"165" "02/01/11" "Valencia" "Espanol" 2 1 "H"
"166" "03/01/11" "Ath Madrid" "Santander" 0 0 "D"
"167" "03/01/11" "Getafe" "Real Madrid" 2 3 "A"
"168" "03/01/11" "Mallorca" "Hercules" 3 0 "H"
"169" "03/01/11" "Villarreal" "Almeria" 2 0 "H"
"170" "03/01/11" "Zaragoza" "Sociedad" 2 1 "H"
"171" "08/01/11" "La Coruna" "Barcelona" 0 4 "A"
"172" "08/01/11" "Malaga" "Ath Bilbao" 1 1 "D"
"173" "08/01/11" "Sociedad" "Sevilla" 2 3 "A"
"174" "09/01/11" "Espanol" "Zaragoza" 4 0 "H"
"175" "09/01/11" "Levante" "Valencia" 0 1 "A"
"176" "09/01/11" "Mallorca" "Almeria" 4 1 "H"
"177" "09/01/11" "Osasuna" "Getafe" 0 0 "D"
"178" "09/01/11" "Real Madrid" "Villarreal" 4 2 "H"
"179" "09/01/11" "Santander" "Sp Gijon" 1 1 "D"
"180" "10/01/11" "Hercules" "Ath Madrid" 4 1 "H"
"181" "15/01/11" "Ath Bilbao" "Santander" 2 1 "H"
"182" "15/01/11" "Getafe" "Sociedad" 0 4 "A"
"183" "15/01/11" "Sevilla" "Espanol" 1 2 "A"
"184" "15/01/11" "Sp Gijon" "Hercules" 2 0 "H"
"185" "15/01/11" "Villarreal" "Osasuna" 4 2 "H"
"186" "15/01/11" "Zaragoza" "Levante" 1 0 "H"
"187" "16/01/11" "Almeria" "Real Madrid" 1 1 "D"
"188" "16/01/11" "Barcelona" "Malaga" 4 1 "H"
"189" "16/01/11" "Valencia" "La Coruna" 2 0 "H"
"190" "17/01/11" "Ath Madrid" "Mallorca" 3 0 "H"
"191" "22/01/11" "Barcelona" "Santander" 3 0 "H"
"192" "22/01/11" "Sevilla" "Levante" 4 1 "H"
"193" "22/01/11" "Valencia" "Malaga" 4 3 "H"
"194" "23/01/11" "Almeria" "Osasuna" 3 2 "H"
"195" "23/01/11" "Getafe" "Espanol" 1 3 "A"
"196" "23/01/11" "Real Madrid" "Mallorca" 1 0 "H"
"197" "23/01/11" "Sp Gijon" "Ath Madrid" 1 0 "H"
"198" "23/01/11" "Villarreal" "Sociedad" 2 1 "H"
"199" "23/01/11" "Zaragoza" "La Coruna" 1 0 "H"
"200" "24/01/11" "Ath Bilbao" "Hercules" 3 0 "H"
"201" "29/01/11" "Hercules" "Barcelona" 0 3 "A"
"202" "29/01/11" "La Coruna" "Sevilla" 3 3 "D"
"203" "29/01/11" "Levante" "Getafe" 2 0 "H"
"204" "29/01/11" "Malaga" "Zaragoza" 1 2 "A"
"205" "29/01/11" "Mallorca" "Sp Gijon" 0 4 "A"
"206" "29/01/11" "Sociedad" "Almeria" 2 0 "H"
"207" "30/01/11" "Ath Madrid" "Ath Bilbao" 0 2 "A"
"208" "30/01/11" "Espanol" "Villarreal" 0 1 "A"
"209" "30/01/11" "Osasuna" "Real Madrid" 1 0 "H"
"210" "31/01/11" "Santander" "Valencia" 1 1 "D"
"211" "05/02/11" "Almeria" "Espanol" 3 2 "H"
"212" "05/02/11" "Ath Bilbao" "Sp Gijon" 3 0 "H"
"213" "05/02/11" "Barcelona" "Ath Madrid" 3 0 "H"
"214" "05/02/11" "Getafe" "La Coruna" 4 1 "H"
"215" "05/02/11" "Osasuna" "Mallorca" 1 1 "D"
"216" "05/02/11" "Villarreal" "Levante" 0 1 "A"
"217" "05/02/11" "Zaragoza" "Santander" 1 1 "D"
"218" "06/02/11" "Real Madrid" "Sociedad" 4 1 "H"
"219" "06/02/11" "Sevilla" "Malaga" 0 0 "D"
"220" "06/02/11" "Valencia" "Hercules" 2 0 "H"
"221" "12/02/11" "Ath Madrid" "Valencia" 1 2 "A"
"222" "12/02/11" "Santander" "Sevilla" 3 2 "H"
"223" "12/02/11" "Sp Gijon" "Barcelona" 1 1 "D"
"224" "13/02/11" "Espanol" "Real Madrid" 0 1 "A"
"225" "13/02/11" "Hercules" "Zaragoza" 2 1 "H"
"226" "13/02/11" "La Coruna" "Villarreal" 1 0 "H"
"227" "13/02/11" "Levante" "Almeria" 1 0 "H"
"228" "13/02/11" "Malaga" "Getafe" 2 2 "D"
"229" "13/02/11" "Sociedad" "Osasuna" 1 0 "H"
"230" "14/02/11" "Mallorca" "Ath Bilbao" 1 0 "H"
"231" "19/02/11" "Real Madrid" "Levante" 2 0 "H"
"232" "19/02/11" "Valencia" "Sp Gijon" 0 0 "D"
"233" "19/02/11" "Zaragoza" "Ath Madrid" 0 1 "A"
"234" "20/02/11" "Almeria" "La Coruna" 1 1 "D"
"235" "20/02/11" "Barcelona" "Ath Bilbao" 2 1 "H"
"236" "20/02/11" "Getafe" "Santander" 0 1 "A"
"237" "20/02/11" "Osasuna" "Espanol" 4 0 "H"
"238" "20/02/11" "Sevilla" "Hercules" 1 0 "H"
"239" "20/02/11" "Villarreal" "Malaga" 1 1 "D"
"240" "21/02/11" "Sociedad" "Mallorca" 1 0 "H"
"241" "26/02/11" "Ath Madrid" "Sevilla" 2 2 "D"
"242" "26/02/11" "Espanol" "Sociedad" 4 1 "H"
"243" "26/02/11" "La Coruna" "Real Madrid" 0 0 "D"
"244" "26/02/11" "Mallorca" "Barcelona" 0 3 "A"
"245" "26/02/11" "Sp Gijon" "Zaragoza" 0 0 "D"
"246" "27/02/11" "Ath Bilbao" "Valencia" 1 2 "A"
"247" "27/02/11" "Hercules" "Getafe" 0 0 "D"
"248" "27/02/11" "Levante" "Osasuna" 2 1 "H"
"249" "27/02/11" "Santander" "Villarreal" 2 2 "D"
"250" "28/02/11" "Malaga" "Almeria" 3 1 "H"
"251" "01/03/11" "Espanol" "Mallorca" 1 2 "A"
"252" "01/03/11" "Sevilla" "Sp Gijon" 3 0 "H"
"253" "02/03/11" "Getafe" "Ath Madrid" 1 1 "D"
"254" "02/03/11" "Osasuna" "La Coruna" 0 0 "D"
"255" "02/03/11" "Sociedad" "Levante" 1 1 "D"
"256" "02/03/11" "Valencia" "Barcelona" 0 1 "A"
"257" "02/03/11" "Villarreal" "Hercules" 1 0 "H"
"258" "02/03/11" "Zaragoza" "Ath Bilbao" 2 1 "H"
"259" "03/03/11" "Almeria" "Santander" 1 1 "D"
"260" "03/03/11" "Real Madrid" "Malaga" 7 0 "H"
"261" "05/03/11" "Ath Madrid" "Villarreal" 3 1 "H"
"262" "05/03/11" "Barcelona" "Zaragoza" 1 0 "H"
"263" "05/03/11" "Mallorca" "Valencia" 1 2 "A"
"264" "06/03/11" "Ath Bilbao" "Sevilla" 2 0 "H"
"265" "06/03/11" "Hercules" "Almeria" 1 2 "A"
"266" "06/03/11" "Levante" "Espanol" 1 0 "H"
"267" "06/03/11" "Malaga" "Osasuna" 0 1 "A"
"268" "06/03/11" "Santander" "Real Madrid" 1 3 "A"
"269" "06/03/11" "Sp Gijon" "Getafe" 2 0 "H"
"270" "07/03/11" "La Coruna" "Sociedad" 2 1 "H"
"271" "12/03/11" "Almeria" "Ath Madrid" 2 2 "D"
"272" "12/03/11" "Real Madrid" "Hercules" 2 0 "H"
"273" "12/03/11" "Zaragoza" "Valencia" 4 0 "H"
"274" "13/03/11" "Espanol" "La Coruna" 2 0 "H"
"275" "13/03/11" "Levante" "Mallorca" 1 1 "D"
"276" "13/03/11" "Osasuna" "Santander" 3 1 "H"
"277" "13/03/11" "Sevilla" "Barcelona" 1 1 "D"
"278" "13/03/11" "Sociedad" "Malaga" 0 2 "A"
"279" "13/03/11" "Villarreal" "Sp Gijon" 1 1 "D"
"280" "14/03/11" "Getafe" "Ath Bilbao" 2 2 "D"
"281" "19/03/11" "Ath Madrid" "Real Madrid" 1 2 "A"
"282" "19/03/11" "Barcelona" "Getafe" 2 1 "H"
"283" "19/03/11" "Mallorca" "Zaragoza" 1 0 "H"
"284" "20/03/11" "Ath Bilbao" "Villarreal" 0 1 "A"
"285" "20/03/11" "Hercules" "Osasuna" 0 4 "A"
"286" "20/03/11" "La Coruna" "Levante" 0 1 "A"
"287" "20/03/11" "Malaga" "Espanol" 2 0 "H"
"288" "20/03/11" "Santander" "Sociedad" 2 1 "H"
"289" "20/03/11" "Sp Gijon" "Almeria" 1 0 "H"
"290" "20/03/11" "Valencia" "Sevilla" 0 1 "A"
"291" "02/04/11" "Getafe" "Valencia" 2 4 "A"
"292" "02/04/11" "Real Madrid" "Sp Gijon" 0 1 "A"
