Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
10/04/11,Hercules,Espanol,0,0,D
10/04/11,Malaga,La Coruna,0,0,D
10/04/11,Santander,Levante,1,1,D
10/04/11,Sp Gijon,Osasuna,1,0,H
10/04/11,Valencia,Villarreal,5,0,H
11/04/11,Zaragoza,Getafe,2,1,H
16/04/11,Almeria,Valencia,0,3,A
16/04/11,Getafe,Sevilla,1,0,H
16/04/11,Malaga,Mallorca,3,0,H
16/04/11,Real Madrid,Barcelona,1,1,D
17/04/11,Espanol,Ath Madrid,2,2,D
17/04/11,La Coruna,Santander,2,0,H
17/04/11,Levante,Hercules,2,1,H
17/04/11,Osasuna,Ath Bilbao,1,2,A
17/04/11,Sociedad,Sp Gijon,2,1,H
18/04/11,Villarreal,Zaragoza,1,0,H
23/04/11,Ath Bilbao,Sociedad,2,1,H
23/04/11,Barcelona,Osasuna,2,0,H
23/04/11,Valencia,Real Madrid,3,6,A
24/04/11,Ath Madrid,Levante,4,1,H
24/04/11,Hercules,La Coruna,1,0,H
24/04/11,Mallorca,Getafe,2,0,H
24/04/11,Santander,Malaga,1,2,A
24/04/11,Sevilla,Villarreal,3,2,H
24/04/11,Sp Gijon,Espanol,1,0,H
25/04/11,Zaragoza,Almeria,1,0,H
30/04/11,La Coruna,Ath Madrid,0,1,A
30/04/11,Real Madrid,Zaragoza,2,3,A
30/04/11,Sociedad,Barcelona,2,1,H
01/05/11,Almeria,Sevilla,0,1,A
01/05/11,Levante,Sp Gijon,0,0,D
01/05/11,Malaga,Hercules,3,1,H
01/05/11,Osasuna,Valencia,1,0,H
01/05/11,Santander,Mallorca,2,0,H
01/05/11,Villarreal,Getafe,2,1,H
02/05/11,Espanol,Ath Bilbao,2,1,H
07/05/11,Ath Bilbao,Levante,3,2,H
07/05/11,Ath Madrid,Malaga,0,3,A
07/05/11,Getafe,Almeria,2,0,H
07/05/11,Hercules,Santander,2,3,A
07/05/11,Sevilla,Real Madrid,2,6,A
07/05/11,Sp Gijon,La Coruna,2,2,D
07/05/11,Valencia,Sociedad,3,0,H
08/05/11,Barcelona,Espanol,2,0,H
08/05/11,Mallorca,Villarreal,0,0,D
08/05/11,Zaragoza,Osasuna,1,3,A
10/05/11,La Coruna,Ath Bilbao,2,1,H
10/05/11,Malaga,Sp Gijon,2,0,H
10/05/11,Real Madrid,Getafe,4,0,H
10/05/11,Santander,Ath Madrid,2,1,H
11/05/11,Almeria,Villarreal,0,0,D
11/05/11,Espanol,Valencia,2,2,D
11/05/11,Hercules,Mallorca,2,2,D
11/05/11,Levante,Barcelona,1,1,D
11/05/11,Osasuna,Sevilla,3,2,H
11/05/11,Sociedad,Zaragoza,2,1,H
15/05/11,Almeria,Mallorca,3,1,H
15/05/11,Ath Bilbao,Malaga,1,1,D
15/05/11,Ath Madrid,Hercules,2,1,H
15/05/11,Barcelona,La Coruna,0,0,D
15/05/11,Getafe,Osasuna,2,0,H
15/05/11,Sevilla,Sociedad,3,1,H
15/05/11,Sp Gijon,Santander,2,1,H
15/05/11,Valencia,Levante,0,0,D
15/05/11,Villarreal,Real Madrid,1,3,A
15/05/11,Zaragoza,Espanol,1,0,H
21/05/11,Espanol,Sevilla,2,3,A
21/05/11,Hercules,Sp Gijon,0,0,D
21/05/11,La Coruna,Valencia,0,2,A
21/05/11,Levante,Zaragoza,1,2,A
21/05/11,Malaga,Barcelona,1,3,A
21/05/11,Mallorca,Ath Madrid,3,4,A
21/05/11,Osasuna,Villarreal,1,0,H
21/05/11,Real Madrid,Almeria,8,1,H
21/05/11,Santander,Ath Bilbao,1,2,A
21/05/11,Sociedad,Getafe,1,1,D
27/08/11,Granada,Betis,0,1,A
27/08/11,Sp Gijon,Sociedad,1,2,A
27/08/11,Valencia,Santander,4,3,H
28/08/11,Ath Bilbao,Vallecano,1,1,D
28/08/11,Ath Madrid,Osasuna,0,0,D
28/08/11,Getafe,Levante,1,1,D
28/08/11,Mallorca,Espanol,1,0,H
28/08/11,Sevilla,Malaga,2,1,H
28/08/11,Zaragoza,Real Madrid,0,6,A
29/08/11,Barcelona,Villarreal,5,0,H
10/09/11,Real Madrid,Getafe,4,2,H
10/09/11,Sociedad,Barcelona,2,2,D
10/09/11,Valencia,Ath Madrid,1,0,H
10/09/11,Villarreal,Sevilla,2,2,D
11/09/11,Betis,Mallorca,1,0,H
11/09/11,Espanol,Ath Bilbao,2,1,H
11/09/11,Osasuna,Sp Gijon,2,1,H
11/09/11,Santander,Levante,0,0,D
11/09/11,Vallecano,Zaragoza,0,0,D
12/09/11,Malaga,Granada,4,0,H
17/09/11,Barcelona,Osasuna,8,0,H
17/09/11,Granada,Villarreal,1,0,H
17/09/11,Mallorca,Malaga,0,1,A
17/09/11,Sevilla,Sociedad,1,0,H
17/09/11,Sp Gijon,Valencia,0,1,A
18/09/11,Ath Bilbao,Betis,2,3,A
18/09/11,Ath Madrid,Santander,4,0,H
18/09/11,Getafe,Vallecano,0,1,A
18/09/11,Levante,Real Madrid,1,0,H
18/09/11,Zaragoza,Espanol,2,1,H
20/09/11,Osasuna,Sevilla,0,0,D
20/09/11,Sociedad,Granada,1,0,H
20/09/11,Villarreal,Mallorca,2,0,H
21/09/11,Ath Madrid,Sp Gijon,4,0,H
21/09/11,Malaga,Ath Bilbao,1,0,H
21/09/11,Santander,Real Madrid,0,0,D
21/09/11,Valencia,Barcelona,2,2,D
21/09/11,Vallecano,Levante,1,2,A
22/09/11,Betis,Zaragoza,4,3,H
22/09/11,Espanol,Getafe,1,0,H
24/09/11,Ath Bilbao,Villarreal,1,1,D
24/09/11,Barcelona,Ath Madrid,5,0,H
24/09/11,Real Madrid,Vallecano,6,2,H
24/09/11,Sevilla,Valencia,1,0,H
25/09/11,Granada,Osasuna,1,1,D
25/09/11,Levante,Espanol,3,1,H
25/09/11,Mallorca,Sociedad,2,1,H
25/09/11,Sp Gijon,Santander,0,0,D
25/09/11,Zaragoza,Malaga,0,0,D
26/09/11,Getafe,Betis,1,0,H
01/10/11,Malaga,Getafe,3,2,H
01/10/11,Osasuna,Mallorca,2,2,D
01/10/11,Santander,Vallecano,1,1,D
01/10/11,Valencia,Granada,1,0,H
01/10/11,Villarreal,Zaragoza,2,2,D
02/10/11,Ath Madrid,Sevilla,0,0,D
02/10/11,Betis,Levante,0,1,A
02/10/11,Espanol,Real Madrid,0,4,A
02/10/11,Sociedad,Ath Bilbao,1,2,A
02/10/11,Sp Gijon,Barcelona,0,1,A
15/10/11,Barcelona,Santander,3,0,H
15/10/11,Getafe,Villarreal,0,0,D
15/10/11,Granada,Ath Madrid,0,0,D
15/10/11,Mallorca,Valencia,1,1,D
15/10/11,Real Madrid,Betis,4,1,H
16/10/11,Levante,Malaga,3,0,H
16/10/11,Sevilla,Sp Gijon,2,1,H
16/10/11,Vallecano,Espanol,0,1,A
16/10/11,Zaragoza,Sociedad,2,0,H
17/10/11,Ath Bilbao,Osasuna,3,1,H
22/10/11,Barcelona,Sevilla,0,0,D
22/10/11,Malaga,Real Madrid,0,4,A
22/10/11,Santander,Espanol,0,1,A
22/10/11,Sp Gijon,Granada,2,0,H
23/10/11,Ath Madrid,Mallorca,1,1,D
23/10/11,Betis,Vallecano,0,2,A
23/10/11,Osasuna,Zaragoza,3,0,H
23/10/11,Sociedad,Getafe,0,0,D
23/10/11,Valencia,Ath Bilbao,1,1,D
23/10/11,Villarreal,Levante,0,3,A
25/10/11,Granada,Barcelona,0,1,A
25/10/11,Sevilla,Santander,2,2,D
26/10/11,Getafe,Osasuna,2,2,D
26/10/11,Levante,Sociedad,3,2,H
26/10/11,Mallorca,Sp Gijon,1,2,A
26/10/11,Real Madrid,Villarreal,3,0,H
26/10/11,Vallecano,Malaga,2,0,H
26/10/11,Zaragoza,Valencia,0,1,A
27/10/11,Ath Bilbao,Ath Madrid,3,0,H
27/10/11,Espanol,Betis,1,0,H
29/10/11,Barcelona,Mallorca,5,0,H
29/10/11,Sociedad,Real Madrid,0,1,A
29/10/11,Valencia,Getafe,3,1,H
29/10/11,Villarreal,Vallecano,2,0,H
30/10/11,Ath Madrid,Zaragoza,3,1,H
30/10/11,Malaga,Espanol,2,1,H
30/10/11,Osasuna,Levante,2,0,H
30/10/11,Santander,Betis,1,0,H
30/10/11,Sp Gijon,Ath Bilbao,1,1,D
31/10/11,Sevilla,Granada,1,2,A
05/11/11,Betis,Malaga,0,0,D
05/11/11,Levante,Valencia,0,2,A
05/11/11,Mallorca,Sevilla,0,0,D
06/11/11,Ath Bilbao,Barcelona,2,2,D
06/11/11,Espanol,Villarreal,0,0,D
06/11/11,Getafe,Ath Madrid,3,2,H
06/11/11,Granada,Santander,0,0,D
06/11/11,Real Madrid,Osasuna,7,1,H
06/11/11,Vallecano,Sociedad,4,0,H
06/11/11,Zaragoza,Sp Gijon,2,2,D
19/11/11,Barcelona,Zaragoza,4,0,H
19/11/11,Valencia,Real Madrid,2,3,A
19/11/11,Villarreal,Betis,1,0,H
20/11/11,Ath Madrid,Levante,3,2,H
20/11/11,Osasuna,Vallecano,0,0,D
20/11/11,Sevilla,Ath Bilbao,1,2,A
20/11/11,Sociedad,Espanol,0,0,D
20/11/11,Sp Gijon,Getafe,2,1,H
21/11/11,Santander,Malaga,1,3,A
26/11/11,Getafe,Barcelona,1,0,H
26/11/11,Real Madrid,Ath Madrid,4,1,H
26/11/11,Vallecano,Valencia,1,2,A
27/11/11,Ath Bilbao,Granada,0,1,A
27/11/11,Betis,Sociedad,2,3,A
27/11/11,Espanol,Osasuna,1,2,A
27/11/11,Levante,Sp Gijon,4,0,H
27/11/11,Mallorca,Santander,2,1,H
27/11/11,Zaragoza,Sevilla,0,1,A
28/11/11,Malaga,Villarreal,2,1,H
29/11/11,Barcelona,Vallecano,4,0,H
03/12/11,Barcelona,Levante,5,0,H
03/12/11,Santander,Villarreal,1,0,H
03/12/11,Sp Gijon,Real Madrid,0,3,A
03/12/11,Valencia,Espanol,2,1,H
04/12/11,Ath Madrid,Vallecano,3,1,H
04/12/11,Granada,Zaragoza,1,0,H
04/12/11,Mallorca,Ath Bilbao,1,1,D
04/12/11,Osasuna,Betis,2,1,H
04/12/11,Sociedad,Malaga,3,2,H
05/12/11,Sevilla,Getafe,3,0,H
07/12/11,Granada,Mallorca,2,2,D
10/12/11,Betis,Valencia,2,1,H
10/12/11,Levante,Sevilla,1,0,H
10/12/11,Real Madrid,Barcelona,1,3,A
11/12/11,Ath Bilbao,Santander,1,1,D
11/12/11,Espanol,Ath Madrid,4,2,H
11/12/11,Getafe,Granada,1,0,H
11/12/11,Malaga,Osasuna,1,1,D
11/12/11,Vallecano,Sp Gijon,1,3,A
11/12/11,Villarreal,Sociedad,1,1,D
11/12/11,Zaragoza,Mallorca,0,1,A
17/12/11,Ath Bilbao,Zaragoza,2,1,H
17/12/11,Mallorca,Getafe,1,2,A
17/12/11,Sevilla,Real Madrid,2,6,A
17/12/11,Sp Gijon,Espanol,1,2,A
